"x","y","slope_min","slope_modal","slope_max","aspect_min","aspect_modal","aspect_max"
3487.53922535339,3569.19451244874,1.67991,2.20302,2.45627,234.46214,260.61079,263.19082
22.7063739136793,2166.83463361813,0.78954,2.60524,5.11078,180.00021,192.67232,265.86768
3675.81718751928,2446.40029929811,0.44404,4.09665,7.74352,180.00021,205.96379,269.56154
278.256164707709,3751.84688293608,1.95092,3.1146,4.4473,232.5032,266.5134,269.99985
2865.89690737426,2269.35054924805,0,2.45627,6.55406,-89.99985,204.17158,269.99985
2644.67083409661,3313.48248674069,0.67781,2.97995,5.56686,180.00021,196.19716,267.5029
1725.7586202072,2455.67313919542,0,1.69882,4.07258,-89.99985,269.34152,269.99985
1807.04564932967,2842.926639691,3.74313,5.35601,6.68584,212.61297,244.48432,262.85106
173.29270219896,2219.05912961112,0,2.42934,5.25803,-89.99985,206.56483,269.99985
3945.77212136472,2840.41025062092,0,3.44348,10.21469,-89.99985,256.74848,269.99985
